,arrivals
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,1.0
1575,5.0
1576,7.0
1577,5.0
1578,6.0
1579,6.0
1580,6.0
1581,4.0
1582,4.0
1583,5.0
1584,7.0
1585,7.0
1586,2.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,6.0
1600,5.0
1601,5.0
1602,4.0
1603,9.0
1604,7.0
1605,5.0
1606,5.0
1607,6.0
1608,9.0
1609,7.0
1610,3.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,1.0
1624,5.0
1625,7.0
1626,10.0
1627,10.0
1628,10.0
1629,7.0
1630,6.0
1631,6.0
1632,7.0
1633,5.0
1634,3.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,2.0
1648,3.0
1649,4.0
1650,7.0
1651,7.0
1652,7.0
1653,6.0
1654,6.0
1655,4.0
1656,4.0
1657,2.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,2.0
1671,5.0
1672,4.0
1673,3.0
1674,4.0
1675,6.0
1676,5.0
1677,3.0
1678,2.0
1679,4.0
1680,4.0
1681,3.0
1682,2.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,4.0
1695,6.0
1696,6.0
1697,4.0
1698,4.0
1699,6.0
1700,6.0
1701,4.0
1702,4.0
1703,4.0
1704,6.0
1705,5.0
1706,3.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,1.0
1719,7.0
1720,6.0
1721,5.0
1722,5.0
1723,7.0
1724,6.0
1725,3.0
1726,4.0
1727,5.0
1728,7.0
1729,6.0
1730,2.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,3.0
1743,5.0
1744,6.0
1745,5.0
1746,4.0
1747,6.0
1748,6.0
1749,4.0
1750,3.0
1751,4.0
1752,7.0
1753,7.0
1754,2.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,2.0
1767,7.0
1768,5.0
1769,5.0
1770,5.0
1771,9.0
1772,7.0
1773,5.0
1774,4.0
1775,5.0
1776,8.0
1777,7.0
1778,3.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,3.0
1792,5.0
1793,7.0
1794,10.0
1795,10.0
1796,11.0
1797,7.0
1798,6.0
1799,5.0
1800,7.0
1801,4.0
1802,3.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,3.0
1816,4.0
1817,4.0
1818,8.0
1819,8.0
1820,7.0
1821,6.0
1822,6.0
1823,4.0
1824,4.0
1825,2.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,1.0
1839,6.0
1840,4.0
1841,3.0
1842,4.0
1843,6.0
1844,5.0
1845,3.0
1846,3.0
1847,4.0
1848,4.0
1849,4.0
1850,1.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,3.0
1863,7.0
1864,7.0
1865,4.0
1866,4.0
1867,5.0
1868,7.0
1869,4.0
1870,4.0
1871,5.0
1872,6.0
1873,5.0
1874,4.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,2.0
1887,5.0
1888,6.0
1889,5.0
1890,5.0
1891,7.0
1892,6.0
1893,4.0
1894,5.0
1895,6.0
1896,7.0
1897,7.0
1898,2.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,1.0
1911,4.0
1912,5.0
1913,6.0
1914,4.0
1915,7.0
1916,6.0
1917,4.0
1918,4.0
1919,5.0
1920,7.0
1921,8.0
1922,2.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,7.0
1936,5.0
1937,6.0
1938,5.0
1939,9.0
1940,7.0
1941,5.0
1942,5.0
1943,6.0
1944,9.0
1945,8.0
1946,4.0
1947,0.0
1948,0.0
1949,0.0
1950,0.0
1951,0.0
1952,0.0
1953,0.0
1954,0.0
1955,0.0
1956,0.0
1957,0.0
1958,0.0
1959,1.0
1960,5.0
1961,8.0
1962,10.0
1963,10.0
1964,11.0
1965,7.0
1966,7.0
1967,5.0
1968,7.0
1969,5.0
1970,3.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,0.0
1983,2.0
1984,4.0
1985,4.0
1986,8.0
1987,8.0
1988,7.0
1989,6.0
1990,5.0
1991,4.0
1992,4.0
1993,1.0
1994,0.0
1995,0.0
1996,0.0
1997,0.0
1998,0.0
1999,0.0
2000,0.0
2001,0.0
2002,0.0
2003,0.0
2004,0.0
2005,0.0
2006,0.0
2007,5.0
2008,4.0
2009,3.0
2010,4.0
2011,6.0
2012,4.0
2013,3.0
2014,4.0
2015,4.0
2016,3.0
2017,4.0
2018,2.0
2019,0.0
2020,0.0
2021,0.0
2022,0.0
2023,0.0
2024,0.0
2025,0.0
2026,0.0
2027,0.0
2028,0.0
2029,0.0
2030,2.0
2031,6.0
2032,5.0
2033,4.0
2034,4.0
2035,6.0
2036,9.0
2037,4.0
2038,4.0
2039,5.0
2040,5.0
2041,4.0
2042,2.0
2043,0.0
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
2051,0.0
2052,0.0
2053,0.0
2054,1.0
2055,5.0
2056,6.0
2057,4.0
2058,5.0
2059,7.0
2060,6.0
2061,4.0
2062,6.0
2063,6.0
2064,7.0
2065,6.0
2066,3.0
2067,0.0
2068,0.0
2069,0.0
2070,0.0
2071,0.0
2072,0.0
2073,0.0
2074,0.0
2075,0.0
2076,0.0
2077,0.0
2078,1.0
2079,5.0
2080,5.0
2081,5.0
2082,4.0
2083,6.0
2084,6.0
2085,4.0
2086,3.0
2087,5.0
2088,8.0
2089,7.0
2090,2.0
2091,0.0
2092,0.0
2093,0.0
2094,0.0
2095,0.0
2096,0.0
2097,0.0
2098,0.0
2099,0.0
2100,0.0
2101,0.0
2102,1.0
2103,7.0
2104,5.0
2105,5.0
2106,4.0
2107,8.0
2108,7.0
2109,4.0
2110,4.0
2111,6.0
2112,8.0
2113,6.0
2114,4.0
2115,0.0
2116,0.0
2117,0.0
2118,0.0
2119,0.0
2120,0.0
2121,0.0
2122,0.0
2123,0.0
2124,0.0
2125,0.0
2126,0.0
2127,1.0
2128,5.0
2129,8.0
2130,10.0
2131,10.0
2132,11.0
2133,7.0
2134,6.0
2135,4.0
2136,8.0
